E807 .H34,2.31207E+16,"Off the record with F.D.R., 1942-1945 /",3.184E+13,Main Collection,None,"0e""807 h34", 
E807 .H35,2.31207E+16,"Franklin D. Roosevelt, an informal biography,",3.184E+13,Main Collection,None,"0e""807 h35", 
E807 .J36 2003,2.31221E+16,That man : an insider's portrait of Franklin D. Roosevelt /,3.184E+13,Main Collection,None,"0e""807 j36 2003", 
E807 .K48 1991,2.3101E+16,The juggler : Franklin Roosevelt as wartime statesman /,3.184E+13,Main Collection,None,"0e""807 k48 1991", 
E807 .L26 1987,2.31133E+16,"Commander in chief : Franklin Delano Roosevelt, his lieutenants, and their war /",3.184E+13,Main Collection,None,"0e""807 l26 1987", 
E807 .M2,2.31207E+16,White house physician /,3.184E+13,Main Collection,None,"0e""807 m2", 
E807 .M3,2.31204E+16,Mr. Roosevelt's three wars : FDR as war leader.,3.184E+13,Main Collection,None,"0e""807 m3", 
E807 .M38 2004,2.31033E+16,Reconsidering Roosevelt on race : how the presidency paved the road to Brown /,3.184E+13,Main Collection,None,"0e""807 m38 2004", 
E807 .M54,2.31274E+16,FDR : an intimate history /,3.184E+13,Main Collection,None,"0e""807 m54", 
E807 .M75 1985,2.39663E+15,FDR : a biography /,3.184E+13,Main Collection,None,"0e""807 m75 1985", 
E807 .N55 1988,2.31109E+16,Roosevelt and Stalin : the failed courtship /,3.184E+13,Main Collection,None,"0e""807 n55 1988", 
E807 .P27 1989,2.39787E+15,Roosevelt and Marshall : partners in politics and war /,3.184E+13,Main Collection,None,"0e""807 p27 1989", 
E807 .P43 2008,2.31232E+16,"Franklin and Lucy : President Roosevelt, Mrs. Rutherfurd, and the other remarkable women in his life /",3.184E+13,Main Collection,None,"0e""807 p43 2008", 
E807 .R3 1950,2.31222E+16,Roosevelt: from Munich to Pearl Harbor; a study in the creation of a foreign policy.,3.184E+13,Main Collection,None,"0e""807 r3 1950", 
E807 .R627,2.31222E+16,Roosevelt and Howe.,3.184E+13,Main Collection,None,"0e""807 r627", 
E807 .R635,2.39868E+15,An untold story : the Roosevelts of Hyde Park /,3.184E+13,Main Collection,None,"0e""807 r635", 
E807 .R6482,2.31172E+16,The F.D.R. memoirs /,3.184E+13,Main Collection,None,"0e""807 r6482", 
E807 .R649,2.31172E+16,"F.D.R., his personal letters /",3.184E+13,Main Collection,None,"0e""807 r649",v.4
E807 .R649,2.31172E+16,"F.D.R., his personal letters /",3.184E+13,Main Collection,None,"0e""807 r649",v.3
E807 .R649,2.31172E+16,"F.D.R., his personal letters /",3.184E+13,Main Collection,None,"0e""807 r649",v.2
E807 .R649,2.31172E+16,"F.D.R., his personal letters /",3.184E+13,Main Collection,None,"0e""807 r649",v.1
E807 .R656,2.31172E+16,"Roosevelt and Frankfurter: their correspondence, 1928-1945,",3.184E+13,Main Collection,None,"0e""807 r656", 
E807 .R657 1975,2.3106E+16,"Affectionately, F.D.R. : a son's story of a courageous man /",3.184E+13,Main Collection,None,"0e""807 r657 1975", 
E807 .R658,2.31128E+16,My parents : a differing view /,3.184E+13,Main Collection,None,"0e""807 r658", 
E807 .R73,2.31163E+16,Working with Roosevelt /,3.184E+13,Main Collection,None,"0e""807 r73", 
E807 .R75,2.39932E+15,"This democratic Roosevelt; the life story of ""F. D.""; an authentic biography,",3.184E+13,Main Collection,None,"0e""807 r75", 
E807 .S28 1991,2.31006E+16,"Roosevelt, the party leader, 1932-1945 /",3.184E+13,Main Collection,None,"0e""807 s28 1991", 
E807 .S45,2.31171E+16,Roosevelt and Hopkins : an intimate history /,3.184E+13,Main Collection,None,"0e""807 s45", 
E807 .S49 2010,2.31193E+16,Prelude to catastrophe : FDR's Jews and the menace of Nazism /,3.184E+13,Main Collection,None,"0e""807 s49 2010", 
